 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         

  Surface # 1     Wing                                    
     # Chordwise = 15   # Spanwise =100     First strip =  1
     Surface area =  264.948608       Ave. chord =    5.145000
     CLsurf  =   0.21882     Clsurf  =  -0.04550
     CYsurf  =  -0.00739     Cmsurf  =  -1.31241
     CDsurf  =   0.00244     Cnsurf  =   0.00256
     CDisurf =   0.00244     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   0.43770     CDsurf  =   0.00487
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
    44  22.3873   5.4317   2.7971   2.5331   0.0162   0.4664   0.4664   0.0029   0.0000  -0.1262  -0.2427    0.521
    45  22.9019   5.3875   2.7744   2.5238   0.0155   0.4684   0.4684   0.0030   0.0000  -0.1262  -0.2433    0.519
    46  23.4166   5.3435   2.7517   2.5139   0.0145   0.4705   0.4705   0.0026   0.0000  -0.1263  -0.2438    0.518
    47  23.9312   5.2993   2.7290   2.5036   0.0146   0.4724   0.4724   0.0025   0.0000  -0.1265  -0.2445    0.518
    48  24.4459   5.2552   2.7063   2.4943   0.0133   0.4746   0.4746   0.0024   0.0000  -0.1270  -0.2456    0.517
    49  24.9605   5.2111   2.6836   2.4856   0.0127   0.4770   0.4770   0.0020   0.0000  -0.1279  -0.2471    0.518
    50  25.4752   5.1670   2.6608   2.4783   0.0329   0.4796   0.4796   0.0022   0.0000  -0.1295  -0.2494    0.520
    51  25.9898   5.1230   2.6381   2.4755  -0.0168   0.4832   0.4832   0.0029   0.0000  -0.1321  -0.2529    0.523
    52  26.5045   5.0789   2.6154   2.4637   0.0019   0.4851   0.4851   0.0029   0.0000  -0.1338  -0.2550    0.526
    53  27.0191   5.0347   2.5927   2.4420   0.0054   0.4850   0.4850   0.0029   0.0000  -0.1345  -0.2557    0.527
    54  27.5338   4.9907   2.5700   2.4171   0.0064   0.4843   0.4843   0.0029   0.0000  -0.1347  -0.2557    0.528
    55  28.0484   4.9465   2.5473   2.3911   0.0070   0.4834   0.4834   0.0023   0.0000  -0.1348  -0.2556    0.529
    56  28.5631   4.9025   2.5246   2.3645   0.0074   0.4823   0.4823   0.0029   0.0000  -0.1348  -0.2554    0.530
    57  29.0777   4.8583   2.5019   2.3353   0.0077   0.4807   0.4807   0.0028   0.0000  -0.1348  -0.2549    0.530
    58  29.5924   4.8142   2.4792   2.3060   0.0080   0.4790   0.4790   0.0023   0.0000  -0.1348  -0.2545    0.531
    59  30.1070   4.7702   2.4565   2.2770   0.0081   0.4773   0.4773   0.0026   0.0000  -0.1348  -0.2541    0.532
    60  30.6217   4.7260   2.4338   2.2470   0.0083   0.4754   0.4754   0.0020   0.0000  -0.1348  -0.2536    0.534
    61  31.1363   4.6820   2.4110   2.2156   0.0083   0.4732   0.4732   0.0022   0.0000  -0.1348  -0.2531    0.535
    62  31.6510   4.6378   2.3883   2.1852   0.0083   0.4712   0.4712   0.0020   0.0000  -0.1348  -0.2525    0.536
    63  32.1656   4.5938   2.3656   2.1533   0.0083   0.4687   0.4687   0.0021   0.0000  -0.1348  -0.2519    0.538
    64  32.6803   4.5497   2.3429   2.1226   0.0083   0.4665   0.4665   0.0019   0.0000  -0.1348  -0.2514    0.539
    65  33.1949   4.5055   2.3202   2.0890   0.0082   0.4637   0.4637   0.0021   0.0000  -0.1347  -0.2505    0.540
    66  33.7096   4.4615   2.2975   2.0573   0.0081   0.4611   0.4611   0.0023   0.0000  -0.1347  -0.2499    0.542
    67  34.2242   4.4173   2.2748   2.0264   0.0080   0.4587   0.4587   0.0026   0.0000  -0.1347  -0.2493    0.544
    68  34.7389   4.3733   2.2521   1.9915   0.0079   0.4554   0.4554   0.0019   0.0000  -0.1346  -0.2484    0.546
    69  35.2535   4.3292   2.2293   1.9593   0.0078   0.4526   0.4526   0.0018   0.0000  -0.1345  -0.2476    0.547
    70  35.7682   4.2851   2.2067   1.9261   0.0077   0.4495   0.4495   0.0015   0.0000  -0.1344  -0.2468    0.549
    71  36.2828   4.2410   2.1839   1.8920   0.0076   0.4461   0.4461   0.0020   0.0000  -0.1344  -0.2458    0.551
    72  36.7975   4.1969   2.1612   1.8580   0.0075   0.4427   0.4427   0.0021   0.0000  -0.1342  -0.2449    0.553
    73  37.3121   4.1528   2.1385   1.8261   0.0074   0.4397   0.4397   0.0018   0.0000  -0.1343  -0.2442    0.555
    74  37.8268   4.1086   2.1158   1.7926   0.0073   0.4363   0.4363   0.0020   0.0000  -0.1342  -0.2432    0.558
    75  38.3414   4.0645   2.0931   1.7577   0.0073   0.4325   0.4325   0.0017   0.0000  -0.1341  -0.2422    0.560
    76  38.8561   4.0205   2.0704   1.7208   0.0072   0.4280   0.4280   0.0024   0.0000  -0.1339  -0.2408    0.563
    77  39.3707   3.9764   2.0477   1.6865   0.0071   0.4241   0.4241   0.0026   0.0000  -0.1338  -0.2398    0.565
    78  39.8854   3.9323   2.0250   1.6541   0.0071   0.4206   0.4206   0.0011   0.0000  -0.1338  -0.2389    0.568
    79  40.4000   3.8881   2.0023   1.6184   0.0071   0.4162   0.4162   0.0029   0.0000  -0.1337  -0.2377    0.571
    80  40.9147   3.8440   1.9795   1.5837   0.0071   0.4120   0.4120   0.0023   0.0000  -0.1337  -0.2366    0.574
    81  41.4293   3.7999   1.9568   1.5461   0.0071   0.4069   0.4069   0.0011   0.0000  -0.1335  -0.2352    0.578
    82  41.9440   3.7559   1.9341   1.5110   0.0072   0.4023   0.4023   0.0020   0.0000  -0.1334  -0.2340    0.582
    83  42.4586   3.7118   1.9114   1.4738   0.0072   0.3971   0.3971   0.0021   0.0000  -0.1333  -0.2325    0.586
    84  42.9733   3.6676   1.8887   1.4360   0.0074   0.3915   0.3915   0.0015   0.0000  -0.1331  -0.2309    0.590
    85  43.4879   3.6235   1.8660   1.4002   0.0075   0.3864   0.3864   0.0022   0.0000  -0.1331  -0.2297    0.594
    86  44.0026   3.5795   1.8433   1.3607   0.0077   0.3801   0.3801   0.0021   0.0000  -0.1329  -0.2279    0.600
    87  44.5172   3.5353   1.8206   1.3235   0.0080   0.3744   0.3744   0.0015   0.0000  -0.1328  -0.2263    0.605
    88  45.0319   3.4913   1.7979   1.2832   0.0083   0.3675   0.3675   0.0019   0.0000  -0.1326  -0.2244    0.611
    89  45.5465   3.4471   1.7752   1.2430   0.0088   0.3606   0.3606   0.0018   0.0000  -0.1324  -0.2225    0.617
    90  46.0612   3.4031   1.7524   1.2012   0.0093   0.3530   0.3530   0.0022   0.0000  -0.1321  -0.2203    0.624
    91  46.5758   3.3590   1.7297   1.1564   0.0100   0.3443   0.3443   0.0023   0.0000  -0.1317  -0.2177    0.633
    92  47.0905   3.3148   1.7070   1.1101   0.0109   0.3349   0.3349   0.0027   0.0000  -0.1312  -0.2149    0.642
    93  47.6051   3.2708   1.6843   1.0634   0.0119   0.3251   0.3251   0.0023   0.0000  -0.1307  -0.2119    0.652
    94  48.1198   3.2266   1.6616   1.0077   0.0134   0.3123   0.3123   0.0030   0.0000  -0.1295  -0.2076    0.665
    95  48.6344   3.1825   1.6389   0.9528   0.0152   0.2994   0.2994   0.0026   0.0000  -0.1283  -0.2031    0.679
    96  49.1491   3.1385   1.6162   0.8912   0.0177   0.2839   0.2839   0.0025   0.0000  -0.1262  -0.1972    0.695
    97  49.6637   3.0944   1.5935   0.8185   0.0212   0.2645   0.2645   0.0034   0.0000  -0.1229  -0.1890    0.715
    98  50.1784   3.0503   1.5708   0.7320   0.0261   0.2400   0.2400   0.0023   0.0000  -0.1172  -0.1771    0.738
    99  50.6930   3.0062   1.5481   0.6173   0.0334   0.2053   0.2053   0.0024   0.0000  -0.1064  -0.1577    0.768
   100  51.2077   2.9620   1.5253   0.4397   0.0454   0.1484   0.1484   0.0022   0.0000  -0.0829  -0.1200    0.808

  Surface # 2     Wing (YDUP)                             
