 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         

  Surface # 1     Wing                                    
     # Chordwise = 15   # Spanwise =100     First strip =  1
     Surface area =  264.948608       Ave. chord =    5.145000
     CLsurf  =   0.20830     Clsurf  =  -0.04283
     CYsurf  =  -0.00678     Cmsurf  =  -1.24632
     CDsurf  =   0.00215     Cnsurf  =   0.00316
     CDisurf =   0.00215     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   0.41665     CDsurf  =   0.00430
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
    63  32.1656   4.5938   2.3656   1.9793   0.0083   0.4310   0.4310   0.0023   0.0000  -0.1290  -0.2367    0.549
    64  32.6803   4.5497   2.3429   1.9496   0.0083   0.4286   0.4286   0.0023   0.0000  -0.1290  -0.2361    0.551
    65  33.1949   4.5055   2.3202   1.9191   0.0082   0.4260   0.4260   0.0028   0.0000  -0.1289  -0.2354    0.553
    66  33.7096   4.4615   2.2975   1.8891   0.0082   0.4235   0.4235   0.0016   0.0000  -0.1289  -0.2347    0.554
    67  34.2242   4.4173   2.2748   1.8600   0.0081   0.4211   0.4211   0.0018   0.0000  -0.1289  -0.2341    0.556
    68  34.7389   4.3733   2.2521   1.8305   0.0080   0.4187   0.4187   0.0019   0.0000  -0.1288  -0.2334    0.558
    69  35.2535   4.3292   2.2293   1.7998   0.0079   0.4158   0.4158   0.0016   0.0000  -0.1287  -0.2326    0.560
    70  35.7682   4.2851   2.2067   1.7696   0.0078   0.4130   0.4130   0.0019   0.0000  -0.1287  -0.2319    0.562
    71  36.2828   4.2410   2.1839   1.7378   0.0077   0.4099   0.4099   0.0026   0.0000  -0.1286  -0.2310    0.564
    72  36.7975   4.1969   2.1612   1.7071   0.0076   0.4069   0.4069   0.0021   0.0000  -0.1285  -0.2302    0.566
    73  37.3121   4.1528   2.1385   1.6762   0.0075   0.4037   0.4037   0.0016   0.0000  -0.1284  -0.2293    0.568
    74  37.8268   4.1086   2.1158   1.6463   0.0074   0.4008   0.4008   0.0017   0.0000  -0.1284  -0.2286    0.570
    75  38.3414   4.0645   2.0931   1.6156   0.0073   0.3976   0.3976   0.0015   0.0000  -0.1284  -0.2277    0.573
    76  38.8561   4.0205   2.0704   1.5820   0.0072   0.3936   0.3936   0.0026   0.0000  -0.1282  -0.2265    0.576
    77  39.3707   3.9764   2.0477   1.5502   0.0072   0.3899   0.3899   0.0017   0.0000  -0.1281  -0.2255    0.578
    78  39.8854   3.9323   2.0250   1.5199   0.0071   0.3866   0.3866   0.0017   0.0000  -0.1281  -0.2247    0.581
    79  40.4000   3.8881   2.0023   1.4870   0.0071   0.3825   0.3825   0.0017   0.0000  -0.1280  -0.2236    0.585
    80  40.9147   3.8440   1.9795   1.4549   0.0071   0.3786   0.3786   0.0015   0.0000  -0.1279  -0.2225    0.588
    81  41.4293   3.7999   1.9568   1.4238   0.0071   0.3748   0.3748   0.0015   0.0000  -0.1279  -0.2216    0.591
    82  41.9440   3.7559   1.9341   1.3891   0.0071   0.3699   0.3699   0.0017   0.0000  -0.1277  -0.2202    0.595
    83  42.4586   3.7118   1.9114   1.3566   0.0071   0.3656   0.3656   0.0016   0.0000  -0.1277  -0.2190    0.599
    84  42.9733   3.6676   1.8887   1.3216   0.0072   0.3604   0.3604   0.0019   0.0000  -0.1275  -0.2175    0.604
    85  43.4879   3.6235   1.8660   1.2874   0.0074   0.3554   0.3554   0.0018   0.0000  -0.1275  -0.2162    0.609
    86  44.0026   3.5795   1.8433   1.2521   0.0075   0.3499   0.3499   0.0016   0.0000  -0.1273  -0.2147    0.614
    87  44.5172   3.5353   1.8206   1.2181   0.0078   0.3446   0.3446   0.0016   0.0000  -0.1273  -0.2133    0.619
    88  45.0319   3.4913   1.7979   1.1811   0.0081   0.3384   0.3384   0.0017   0.0000  -0.1270  -0.2116    0.625
    89  45.5465   3.4471   1.7752   1.1436   0.0084   0.3318   0.3318   0.0013   0.0000  -0.1269  -0.2098    0.632
    90  46.0612   3.4031   1.7524   1.1052   0.0089   0.3248   0.3248   0.0019   0.0000  -0.1266  -0.2078    0.640
    91  46.5758   3.3590   1.7297   1.0652   0.0095   0.3172   0.3172   0.0017   0.0000  -0.1263  -0.2056    0.648
    92  47.0905   3.3148   1.7070   1.0226   0.0103   0.3085   0.3085   0.0013   0.0000  -0.1259  -0.2029    0.658
    93  47.6051   3.2708   1.6843   0.9793   0.0113   0.2995   0.2995   0.0019   0.0000  -0.1254  -0.2002    0.669
    94  48.1198   3.2266   1.6616   0.9300   0.0126   0.2883   0.2883   0.0027   0.0000  -0.1244  -0.1964    0.682
    95  48.6344   3.1825   1.6389   0.8787   0.0144   0.2762   0.2762   0.0022   0.0000  -0.1233  -0.1923    0.696
    96  49.1491   3.1385   1.6162   0.8225   0.0168   0.2621   0.2621   0.0027   0.0000  -0.1215  -0.1870    0.714
    97  49.6637   3.0944   1.5935   0.7567   0.0201   0.2446   0.2446   0.0019   0.0000  -0.1185  -0.1796    0.734
    98  50.1784   3.0503   1.5708   0.6776   0.0249   0.2222   0.2222   0.0017   0.0000  -0.1132  -0.1687    0.760
    99  50.6930   3.0062   1.5481   0.5738   0.0322   0.1909   0.1909   0.0024   0.0000  -0.1032  -0.1509    0.791
   100  51.2077   2.9620   1.5253   0.4096   0.0442   0.1383   0.1383   0.0023   0.0000  -0.0808  -0.1153    0.834

  Surface # 2     Wing (YDUP)                             
     # Chordwise = 15   # Spanwise =100     First strip =101
     Surface area =  264.948608       Ave. chord =    5.145000
     CLsurf  =   0.20830     Clsurf  =   0.04283
     CYsurf  =   0.00678     Cmsurf  =  -1.24632
     CDsurf  =   0.00215     Cnsurf  =  -0.00316
     CDisurf =   0.00215     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   0.41665     CDsurf  =   0.00430
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
   101  -0.2573   7.3280   3.7736   3.0661   0.0250   0.4186   0.4186   0.0067   0.0000  -0.1239   0.2284    0.546
   102  -0.7720   7.2838   3.7509   3.0558   0.0232   0.4197   0.4197   0.0076   0.0000  -0.1243   0.2292    0.546
   103  -1.2866   7.2397   3.7282   3.0457   0.0220   0.4209   0.4209   0.0076   0.0000  -0.1246   0.2297    0.546
   104  -1.8013   7.1957   3.7055   3.0381   0.0213   0.4224   0.4224   0.0073   0.0000  -0.1249   0.2304    0.546
   105  -2.3159   7.1515   3.6828   3.0303   0.0209   0.4239   0.4239   0.0070   0.0000  -0.1251   0.2310    0.545
   106  -2.8306   7.1075   3.6601   3.0235   0.0206   0.4256   0.4256   0.0072   0.0000  -0.1253   0.2316    0.544
   107  -3.3452   7.0633   3.6374   3.0145   0.0205   0.4269   0.4269   0.0072   0.0000  -0.1253   0.2319    0.543
   108  -3.8599   7.0192   3.6147   3.0058   0.0205   0.4284   0.4284   0.0075   0.0000  -0.1254   0.2324    0.543
   109  -4.3745   6.9752   3.5919   2.9954   0.0206   0.4296   0.4296   0.0069   0.0000  -0.1255   0.2328    0.542
   110  -4.8892   6.9310   3.5692   2.9874   0.0207   0.4312   0.4312   0.0071   0.0000  -0.1256   0.2333    0.541
   111  -5.4038   6.8870   3.5465   2.9766   0.0209   0.4324   0.4324   0.0066   0.0000  -0.1258   0.2338    0.541
   112  -5.9185   6.8428   3.5238   2.9650   0.0210   0.4335   0.4335   0.0064   0.0000  -0.1258   0.2341    0.540
   113  -6.4331   6.7987   3.5011   2.9539   0.0212   0.4346   0.4346   0.0067   0.0000  -0.1260   0.2345    0.540
   114  -6.9478   6.7547   3.4784   2.9428   0.0213   0.4358   0.4358   0.0064   0.0000  -0.1261   0.2350    0.539
   115  -7.4624   6.7105   3.4557   2.9283   0.0213   0.4365   0.4365   0.0065   0.0000  -0.1262   0.2353    0.539
   116  -7.9771   6.6665   3.4330   2.9118   0.0214   0.4370   0.4369   0.0064   0.0000  -0.1263   0.2354    0.539
   117  -8.4917   6.6223   3.4103   2.8965   0.0214   0.4375   0.4375   0.0058   0.0000  -0.1264   0.2357    0.539
   118  -9.0064   6.5782   3.3876   2.8790   0.0213   0.4378   0.4378   0.0062   0.0000  -0.1265   0.2358    0.539
   119  -9.5210   6.5342   3.3648   2.8572   0.0212   0.4374   0.4374   0.0059   0.0000  -0.1264   0.2357    0.539
   120 -10.0357   6.4900   3.3421   2.8406   0.0210   0.4378   0.4378   0.0063   0.0000  -0.1266   0.2360    0.539
   121 -10.5503   6.4460   3.3194   2.8194   0.0206   0.4375   0.4375   0.0060   0.0000  -0.1267   0.2360    0.540
   122 -11.0650   6.4018   3.2967   2.7935   0.0201   0.4365   0.4365   0.0063   0.0000  -0.1267   0.2358    0.540
   123 -11.5796   6.3577   3.2740   2.7678   0.0193   0.4355   0.4355   0.0064   0.0000  -0.1269   0.2357    0.541
   124 -12.0943   6.3137   3.2513   2.7381   0.0182   0.4338   0.4338   0.0061   0.0000  -0.1270   0.2354    0.543
   125 -12.6089   6.2695   3.2286   2.7081   0.0167   0.4321   0.4321   0.0063   0.0000  -0.1274   0.2354    0.545
   126 -13.1236   6.2255   3.2059   2.6769   0.0146   0.4302   0.4302   0.0064   0.0000  -0.1280   0.2355    0.548
   127 -13.6382   6.1814   3.1832   2.6432   0.0118   0.4278   0.4278   0.0067   0.0000  -0.1290   0.2358    0.551
   128 -14.1529   6.1372   3.1605   2.6045   0.0084   0.4246   0.4246   0.0073   0.0000  -0.1301   0.2361    0.556
   129 -14.6675   6.0932   3.1377   2.5702   0.0047   0.4220   0.4220   0.0079   0.0000  -0.1315   0.2369    0.562
   130 -15.1822   6.0490   3.1150   2.5400   0.0018   0.4201   0.4201   0.0083   0.0000  -0.1324   0.2373    0.565
   131 -15.6968   6.0050   3.0923   2.5203   0.0006   0.4199   0.4199   0.0081   0.0000  -0.1323   0.2371    0.565
   132 -16.2115   5.9608   3.0696   2.5099   0.0016   0.4212   0.4212   0.0076   0.0000  -0.1310   0.2362    0.561
   133 -16.7261   5.9167   3.0469   2.5080   0.0043   0.4241   0.4241   0.0069   0.0000  -0.1293   0.2352    0.555
   134 -17.2408   5.8727   3.0242   2.5114   0.0075   0.4278   0.4278   0.0064   0.0000  -0.1279   0.2347    0.549
   135 -17.7554   5.8285   3.0015   2.5166   0.0103   0.4319   0.4319   0.0054   0.0000  -0.1268   0.2347    0.544
   136 -18.2701   5.7845   2.9788   2.5235   0.0125   0.4364   0.4364   0.0049   0.0000  -0.1263   0.2353    0.539
   137 -18.7847   5.7403   2.9561   2.5264   0.0139   0.4402   0.4402   0.0045   0.0000  -0.1260   0.2360    0.536
   138 -19.2994   5.6962   2.9334   2.5286   0.0146   0.4440   0.4440   0.0041   0.0000  -0.1259   0.2368    0.534
   139 -19.8140   5.6522   2.9106   2.5310   0.0149   0.4479   0.4479   0.0038   0.0000  -0.1259   0.2378    0.531
   140 -20.3287   5.6080   2.8879   2.5313   0.0149   0.4515   0.4515   0.0029   0.0000  -0.1261   0.2388    0.529
   141 -20.8433   5.5640   2.8652   2.5292   0.0146   0.4547   0.4547   0.0033   0.0000  -0.1262   0.2397    0.527
   142 -21.3580   5.5198   2.8425   2.5270   0.0142   0.4579   0.4579   0.0027   0.0000  -0.1263   0.2407    0.526
   143 -21.8726   5.4757   2.8198   2.5217   0.0136   0.4606   0.4606   0.0025   0.0000  -0.1264   0.2415    0.524
   144 -22.3873   5.4317   2.7971   2.5146   0.0129   0.4631   0.4631   0.0026   0.0000  -0.1265   0.2422    0.523
   145 -22.9019   5.3875   2.7744   2.5062   0.0122   0.4653   0.4653   0.0021   0.0000  -0.1266   0.2428    0.522
   146 -23.4166   5.3435   2.7517   2.4936   0.0113   0.4668   0.4668   0.0024   0.0000  -0.1265   0.2431    0.521
   147 -23.9312   5.2993   2.7290   2.4785   0.0103   0.4678   0.4678   0.0017   0.0000  -0.1264   0.2433    0.520
   148 -24.4459   5.2552   2.7063   2.4579   0.0100   0.4678   0.4678   0.0015   0.0000  -0.1263   0.2431    0.520
   149 -24.9605   5.2111   2.6836   2.4333   0.0083   0.4670   0.4670   0.0017   0.0000  -0.1262   0.2429    0.520
   150 -25.4752   5.1670   2.6608   2.4023  -0.0070   0.4650   0.4650   0.0015   0.0000  -0.1266   0.2427    0.522
   151 -25.9898   5.1230   2.6381   2.3632   0.0319   0.4614   0.4614   0.0021   0.0000  -0.1274   0.2427    0.526
   152 -26.5045   5.0789   2.6154   2.3276   0.0171   0.4584   0.4584   0.0025   0.0000  -0.1279   0.2424    0.529
   153 -27.0191   5.0347   2.5927   2.2944   0.0139   0.4558   0.4558   0.0024   0.0000  -0.1281   0.2420    0.531
   154 -27.5338   4.9907   2.5700   2.2623   0.0123   0.4534   0.4534   0.0027   0.0000  -0.1283   0.2415    0.533
   155 -28.0484   4.9465   2.5473   2.2287   0.0112   0.4507   0.4507   0.0022   0.0000  -0.1283   0.2409    0.535
   156 -28.5631   4.9025   2.5246   2.1972   0.0102   0.4483   0.4483   0.0022   0.0000  -0.1286   0.2406    0.537
   157 -29.0777   4.8583   2.5019   2.1639   0.0095   0.4455   0.4455   0.0023   0.0000  -0.1287   0.2400    0.539
   158 -29.5924   4.8142   2.4792   2.1313   0.0090   0.4428   0.4428   0.0026   0.0000  -0.1288   0.2394    0.541
   159 -30.1070   4.7702   2.4565   2.1007   0.0087   0.4405   0.4405   0.0025   0.0000  -0.1289   0.2389    0.543
   160 -30.6217   4.7260   2.4338   2.0699   0.0086   0.4381   0.4381   0.0029   0.0000  -0.1290   0.2384    0.544
   161 -31.1363   4.6820   2.4110   2.0400   0.0085   0.4358   0.4358   0.0026   0.0000  -0.1290   0.2379    0.546
   162 -31.6510   4.6378   2.3883   2.0092   0.0084   0.4333   0.4333   0.0021   0.0000  -0.1290   0.2372    0.548
   163 -32.1656   4.5938   2.3656   1.9792   0.0083   0.4310   0.4310   0.0024   0.0000  -0.1290   0.2367    0.549
   164 -32.6803   4.5497   2.3429   1.9496   0.0083   0.4286   0.4286   0.0023   0.0000  -0.1290   0.2361    0.551
   165 -33.1949   4.5055   2.3202   1.9191   0.0082   0.4260   0.4260   0.0029   0.0000  -0.1289   0.2354    0.553
   166 -33.7096   4.4615   2.2975   1.8891   0.0082   0.4235   0.4235   0.0016   0.0000  -0.1289   0.2347    0.554
   167 -34.2242   4.4173   2.2748   1.8600   0.0081   0.4211   0.4211   0.0018   0.0000  -0.1289   0.2341    0.556
   168 -34.7389   4.3733   2.2521   1.8305   0.0080   0.4186   0.4186   0.0019   0.0000  -0.1288   0.2334    0.558
   169 -35.2535   4.3292   2.2293   1.7998   0.0079   0.4158   0.4158   0.0016   0.0000  -0.1287   0.2326    0.560
   170 -35.7682   4.2851   2.2067   1.7696   0.0078   0.4130   0.4130   0.0020   0.0000  -0.1287   0.2319    0.562
   171 -36.2828   4.2410   2.1839   1.7378   0.0077   0.4099   0.4099   0.0026   0.0000  -0.1286   0.2310    0.564
   172 -36.7975   4.1969   2.1612   1.7071   0.0076   0.4069   0.4068   0.0021   0.0000  -0.1285   0.2302    0.566
   173 -37.3121   4.1528   2.1385   1.6762   0.0075   0.4037   0.4037   0.0016   0.0000  -0.1284   0.2293    0.568
   174 -37.8268   4.1086   2.1158   1.6463   0.0074   0.4008   0.4008   0.0017   0.0000  -0.1284   0.2286    0.570
   175 -38.3414   4.0645   2.0931   1.6156   0.0073   0.3976   0.3976   0.0015   0.0000  -0.1284   0.2277    0.573
   176 -38.8561   4.0205   2.0704   1.5820   0.0072   0.3936   0.3936   0.0026   0.0000  -0.1282   0.2265    0.576
   177 -39.3707   3.9764   2.0477   1.5502   0.0072   0.3899   0.3899   0.0017   0.0000  -0.1281   0.2255    0.578
   178 -39.8854   3.9323   2.0250   1.5199   0.0071   0.3866   0.3866   0.0017   0.0000  -0.1281   0.2247    0.581
   179 -40.4000   3.8881   2.0023   1.4870   0.0071   0.3825   0.3825   0.0017   0.0000  -0.1280   0.2236    0.585
   180 -40.9147   3.8440   1.9795   1.4549   0.0071   0.3786   0.3786   0.0015   0.0000  -0.1279   0.2225    0.588
   181 -41.4293   3.7999   1.9568   1.4238   0.0071   0.3748   0.3748   0.0015   0.0000  -0.1279   0.2216    0.591
   182 -41.9440   3.7559   1.9341   1.3891   0.0071   0.3699   0.3699   0.0017   0.0000  -0.1277   0.2202    0.595
   183 -42.4586   3.7118   1.9114   1.3566   0.0071   0.3656   0.3656   0.0016   0.0000  -0.1277   0.2190    0.599
   184 -42.9733   3.6676   1.8887   1.3216   0.0072   0.3604   0.3604   0.0019   0.0000  -0.1275   0.2175    0.604
   185 -43.4879   3.6235   1.8660   1.2874   0.0074   0.3554   0.3554   0.0018   0.0000  -0.1275   0.2162    0.609
   186 -44.0026   3.5795   1.8433   1.2521   0.0075   0.3499   0.3499   0.0016   0.0000  -0.1273   0.2147    0.614
   187 -44.5172   3.5353   1.8206   1.2181   0.0078   0.3446   0.3446   0.0016   0.0000  -0.1273   0.2133    0.619
   188 -45.0319   3.4913   1.7979   1.1811   0.0081   0.3384   0.3384   0.0017   0.0000  -0.1270   0.2116    0.625
   189 -45.5465   3.4471   1.7752   1.1436   0.0084   0.3318   0.3318   0.0013   0.0000  -0.1269   0.2098    0.632
   190 -46.0612   3.4031   1.7524   1.1052   0.0089   0.3248   0.3248   0.0019   0.0000  -0.1266   0.2078    0.640
   191 -46.5758   3.3590   1.7297   1.0652   0.0095   0.3172   0.3172   0.0017   0.0000  -0.1263   0.2056    0.648
   192 -47.0905   3.3148   1.7070   1.0226   0.0103   0.3085   0.3085   0.0013   0.0000  -0.1259   0.2029    0.658
   193 -47.6051   3.2708   1.6843   0.9794   0.0113   0.2995   0.2995   0.0019   0.0000  -0.1254   0.2002    0.669
   194 -48.1198   3.2266   1.6616   0.9300   0.0126   0.2883   0.2883   0.0027   0.0000  -0.1244   0.1964    0.682
   195 -48.6344   3.1825   1.6389   0.8787   0.0144   0.2762   0.2762   0.0022   0.0000  -0.1233   0.1923    0.696
   196 -49.1491   3.1385   1.6162   0.8225   0.0168   0.2621   0.2621   0.0027   0.0000  -0.1215   0.1870    0.714
   197 -49.6637   3.0944   1.5935   0.7567   0.0201   0.2446   0.2446   0.0019   0.0000  -0.1185   0.1796    0.734
   198 -50.1784   3.0503   1.5708   0.6776   0.0249   0.2222   0.2222   0.0017   0.0000  -0.1132   0.1687    0.760
   199 -50.6930   3.0062   1.5481   0.5738   0.0322   0.1909   0.1909   0.0024   0.0000  -0.1032   0.1509    0.791
   200 -51.2077   2.9620   1.5253   0.4096   0.0442   0.1383   0.1383   0.0023   0.0000  -0.0808   0.1153    0.834

  Surface # 3     Strut                                   
     # Chordwise =  7   # Spanwise = 20     First strip =201
     Surface area =   76.794899       Ave. chord =    3.000000
