 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         

  Surface # 1     Wing                                    
     # Chordwise = 15   # Spanwise =100     First strip =  1
     Surface area =  264.948608       Ave. chord =    5.145000
     CLsurf  =   0.20830     Clsurf  =  -0.04283
     CYsurf  =  -0.00678     Cmsurf  =  -1.24632
     CDsurf  =   0.00215     Cnsurf  =   0.00316
     CDisurf =   0.00215     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   0.41665     CDsurf  =   0.00430
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
     1   0.2573   7.3280   3.7736   3.0660   0.0250   0.4186   0.4186   0.0067   0.0000  -0.1239  -0.2284    0.546
     2   0.7720   7.2838   3.7509   3.0558   0.0232   0.4197   0.4197   0.0076   0.0000  -0.1243  -0.2291    0.546
     3   1.2866   7.2397   3.7282   3.0457   0.0220   0.4209   0.4209   0.0076   0.0000  -0.1246  -0.2297    0.546
     4   1.8013   7.1957   3.7055   3.0380   0.0213   0.4224   0.4224   0.0073   0.0000  -0.1249  -0.2304    0.546
     5   2.3159   7.1515   3.6828   3.0301   0.0209   0.4239   0.4239   0.0069   0.0000  -0.1251  -0.2309    0.545
     6   2.8306   7.1075   3.6601   3.0236   0.0206   0.4256   0.4256   0.0072   0.0000  -0.1253  -0.2316    0.544
     7   3.3452   7.0633   3.6374   3.0145   0.0205   0.4269   0.4269   0.0072   0.0000  -0.1253  -0.2319    0.543
     8   3.8599   7.0192   3.6147   3.0058   0.0205   0.4284   0.4284   0.0075   0.0000  -0.1254  -0.2324    0.543
     9   4.3745   6.9752   3.5919   2.9954   0.0206   0.4296   0.4296   0.0069   0.0000  -0.1255  -0.2328    0.542
    10   4.8892   6.9310   3.5692   2.9874   0.0207   0.4312   0.4312   0.0071   0.0000  -0.1256  -0.2333    0.541
    11   5.4038   6.8870   3.5465   2.9766   0.0209   0.4324   0.4324   0.0066   0.0000  -0.1258  -0.2338    0.541
    12   5.9185   6.8428   3.5238   2.9650   0.0210   0.4335   0.4335   0.0064   0.0000  -0.1258  -0.2341    0.540
    13   6.4331   6.7987   3.5011   2.9539   0.0212   0.4346   0.4346   0.0066   0.0000  -0.1260  -0.2345    0.540
    14   6.9478   6.7547   3.4784   2.9428   0.0213   0.4358   0.4358   0.0064   0.0000  -0.1261  -0.2350    0.539
    15   7.4624   6.7105   3.4557   2.9283   0.0213   0.4365   0.4365   0.0066   0.0000  -0.1262  -0.2353    0.539
    16   7.9771   6.6665   3.4330   2.9118   0.0214   0.4370   0.4370   0.0064   0.0000  -0.1263  -0.2354    0.539
    17   8.4917   6.6223   3.4103   2.8965   0.0214   0.4375   0.4375   0.0058   0.0000  -0.1264  -0.2357    0.539
    18   9.0064   6.5782   3.3876   2.8790   0.0213   0.4378   0.4378   0.0062   0.0000  -0.1265  -0.2358    0.539
    19   9.5210   6.5342   3.3648   2.8573   0.0212   0.4374   0.4374   0.0059   0.0000  -0.1264  -0.2357    0.539
    20  10.0357   6.4900   3.3421   2.8406   0.0210   0.4378   0.4378   0.0063   0.0000  -0.1266  -0.2360    0.539
    21  10.5503   6.4460   3.3194   2.8194   0.0206   0.4375   0.4375   0.0060   0.0000  -0.1267  -0.2360    0.540
    22  11.0650   6.4018   3.2967   2.7935   0.0201   0.4365   0.4365   0.0063   0.0000  -0.1267  -0.2358    0.540
    23  11.5796   6.3577   3.2740   2.7678   0.0193   0.4355   0.4355   0.0064   0.0000  -0.1269  -0.2357    0.541
    24  12.0943   6.3137   3.2513   2.7381   0.0182   0.4338   0.4338   0.0061   0.0000  -0.1270  -0.2354    0.543
    25  12.6089   6.2695   3.2286   2.7081   0.0167   0.4321   0.4321   0.0063   0.0000  -0.1274  -0.2354    0.545
    26  13.1236   6.2255   3.2059   2.6769   0.0146   0.4302   0.4302   0.0064   0.0000  -0.1280  -0.2355    0.548
    27  13.6382   6.1814   3.1832   2.6433   0.0118   0.4278   0.4278   0.0067   0.0000  -0.1290  -0.2358    0.551
    28  14.1529   6.1372   3.1605   2.6045   0.0084   0.4246   0.4246   0.0073   0.0000  -0.1301  -0.2361    0.556
    29  14.6675   6.0932   3.1377   2.5703   0.0047   0.4220   0.4220   0.0079   0.0000  -0.1315  -0.2369    0.562
    30  15.1822   6.0490   3.1150   2.5400   0.0018   0.4201   0.4201   0.0083   0.0000  -0.1324  -0.2373    0.565
    31  15.6968   6.0050   3.0923   2.5202   0.0006   0.4199   0.4199   0.0081   0.0000  -0.1323  -0.2371    0.565
    32  16.2115   5.9608   3.0696   2.5099   0.0016   0.4212   0.4212   0.0076   0.0000  -0.1310  -0.2362    0.561
    33  16.7261   5.9167   3.0469   2.5080   0.0043   0.4241   0.4241   0.0069   0.0000  -0.1293  -0.2352    0.555
    34  17.2408   5.8727   3.0242   2.5114   0.0075   0.4278   0.4278   0.0064   0.0000  -0.1279  -0.2347    0.549
    35  17.7554   5.8285   3.0015   2.5166   0.0103   0.4319   0.4319   0.0054   0.0000  -0.1268  -0.2347    0.544
    36  18.2701   5.7845   2.9788   2.5235   0.0125   0.4364   0.4364   0.0049   0.0000  -0.1263  -0.2353    0.539
    37  18.7847   5.7403   2.9561   2.5263   0.0139   0.4402   0.4402   0.0045   0.0000  -0.1260  -0.2360    0.536
    38  19.2994   5.6962   2.9334   2.5286   0.0146   0.4440   0.4440   0.0041   0.0000  -0.1259  -0.2368    0.534
    39  19.8140   5.6522   2.9106   2.5310   0.0149   0.4479   0.4479   0.0038   0.0000  -0.1260  -0.2378    0.531
    40  20.3287   5.6080   2.8879   2.5313   0.0149   0.4515   0.4515   0.0029   0.0000  -0.1261  -0.2389    0.529
    41  20.8433   5.5640   2.8652   2.5292   0.0146   0.4547   0.4547   0.0033   0.0000  -0.1262  -0.2397    0.527
    42  21.3580   5.5198   2.8425   2.5270   0.0142   0.4579   0.4579   0.0027   0.0000  -0.1263  -0.2407    0.526
    43  21.8726   5.4757   2.8198   2.5217   0.0136   0.4606   0.4606   0.0025   0.0000  -0.1264  -0.2415    0.524
    44  22.3873   5.4317   2.7971   2.5146   0.0129   0.4631   0.4631   0.0026   0.0000  -0.1265  -0.2422    0.523
    45  22.9019   5.3875   2.7744   2.5062   0.0122   0.4653   0.4653   0.0021   0.0000  -0.1266  -0.2428    0.522
    46  23.4166   5.3435   2.7517   2.4936   0.0113   0.4668   0.4668   0.0024   0.0000  -0.1265  -0.2431    0.521
    47  23.9312   5.2993   2.7290   2.4785   0.0103   0.4678   0.4678   0.0017   0.0000  -0.1264  -0.2433    0.520
    48  24.4459   5.2552   2.7063   2.4578   0.0100   0.4678   0.4678   0.0015   0.0000  -0.1263  -0.2431    0.520
    49  24.9605   5.2111   2.6836   2.4333   0.0083   0.4670   0.4670   0.0017   0.0000  -0.1263  -0.2429    0.520
    50  25.4752   5.1670   2.6608   2.4023  -0.0070   0.4650   0.4650   0.0015   0.0000  -0.1266  -0.2427    0.522
    51  25.9898   5.1230   2.6381   2.3632   0.0319   0.4614   0.4614   0.0021   0.0000  -0.1274  -0.2427    0.526
    52  26.5045   5.0789   2.6154   2.3276   0.0171   0.4584   0.4584   0.0025   0.0000  -0.1279  -0.2424    0.529
    53  27.0191   5.0347   2.5927   2.2944   0.0139   0.4558   0.4558   0.0024   0.0000  -0.1281  -0.2420    0.531
    54  27.5338   4.9907   2.5700   2.2623   0.0123   0.4534   0.4534   0.0027   0.0000  -0.1283  -0.2415    0.533
    55  28.0484   4.9465   2.5473   2.2287   0.0112   0.4507   0.4507   0.0023   0.0000  -0.1283  -0.2409    0.535
    56  28.5631   4.9025   2.5246   2.1972   0.0102   0.4483   0.4483   0.0022   0.0000  -0.1286  -0.2406    0.537
    57  29.0777   4.8583   2.5019   2.1639   0.0095   0.4455   0.4455   0.0023   0.0000  -0.1287  -0.2400    0.539
    58  29.5924   4.8142   2.4792   2.1314   0.0090   0.4428   0.4428   0.0026   0.0000  -0.1288  -0.2394    0.541
    59  30.1070   4.7702   2.4565   2.1007   0.0087   0.4405   0.4405   0.0025   0.0000  -0.1289  -0.2389    0.543
    60  30.6217   4.7260   2.4338   2.0699   0.0086   0.4381   0.4381   0.0029   0.0000  -0.1290  -0.2384    0.544
    61  31.1363   4.6820   2.4110   2.0400   0.0085   0.4358   0.4358   0.0027   0.0000  -0.1290  -0.2379    0.546
    62  31.6510   4.6378   2.3883   2.0092   0.0084   0.4333   0.4333   0.0021   0.0000  -0.1290  -0.2372    0.548
